00-17-0d-00-00-30-47-fa,22.56,6.4484,6.7742,2017-05-08 04:57:14,1494212234502
00-17-0d-00-00-30-49-58,22.77,7.1435,7.3647,2017-05-08 04:57:16,1494212236504
00-17-0d-00-00-30-48-18,22.36,5.6823,5.3856,2017-05-08 04:57:18,1494212238506
00-17-0d-00-00-30-4d-94,21.95,5.2521,5.2678,2017-05-08 04:57:20,1494212240508
00-17-0d-00-00-30-49-58,22.56,7.7931,5.6542,2017-05-08 04:57:22,1494212242511
00-17-0d-00-00-30-47-fa,22.36,6.2453,7.8793,2017-05-08 04:57:24,1494212244513
00-17-0d-00-00-30-48-18,22.16,6.7755,5.2009,2017-05-08 04:57:26,1494212246514
00-17-0d-00-00-30-4d-94,21.95,6.4569,5.4928,2017-05-08 04:57:28,1494212248516
00-17-0d-00-00-30-49-58,22.77,7.2241,6.0946,2017-05-08 04:57:30,1494212250519
00-17-0d-00-00-30-47-fa,22.36,4.9002,7.0392,2017-05-08 04:57:32,1494212252521
00-17-0d-00-00-30-48-18,22.77,7.5833,7.6536,2017-05-08 04:57:34,1494212254523
00-17-0d-00-00-30-4d-94,22.16,5.7095,5.1486,2017-05-08 04:57:36,1494212256526
00-17-0d-00-00-30-47-fa,22.36,6.0292,6.9958,2017-05-08 04:57:38,1494212258526
00-17-0d-00-00-30-49-58,22.77,5.1255,7.1302,2017-05-08 04:57:40,1494212260529
00-17-0d-00-00-30-48-18,22.56,5.3232,7.4892,2017-05-08 04:57:42,1494212262530
00-17-0d-00-00-30-4d-94,22.16,6.7244,6.2175,2017-05-08 04:57:44,1494212264531
00-17-0d-00-00-30-49-58,22.56,7.4866,6.8152,2017-05-08 04:57:46,1494212266534
00-17-0d-00-00-30-47-fa,22.77,7.8108,7.7703,2017-05-08 04:57:48,1494212268536
00-17-0d-00-00-30-48-18,22.56,7.6928,6.5936,2017-05-08 04:57:50,1494212270538
00-17-0d-00-00-30-4d-94,21.75,5.6412,7.7747,2017-05-08 04:57:52,1494212272540
00-17-0d-00-00-30-47-fa,22.36,5.3663,7.7578,2017-05-08 04:57:54,1494212274541
00-17-0d-00-00-30-49-58,22.97,5.6587,7.5212,2017-05-08 04:57:56,1494212276544
00-17-0d-00-00-30-48-18,22.36,7.339,7.1228,2017-05-08 04:57:58,1494212278546
00-17-0d-00-00-30-4d-94,21.95,6.9838,7.7987,2017-05-08 04:58:00,1494212280546
00-17-0d-00-00-30-47-fa,22.16,7.0211,6.5237,2017-05-08 04:58:02,1494212282549
00-17-0d-00-00-30-49-58,22.77,7.8604,7.8351,2017-05-08 04:58:04,1494212284551
00-17-0d-00-00-30-48-18,22.56,7.3291,5.5534,2017-05-08 04:58:06,1494212286553
00-17-0d-00-00-30-4d-94,21.75,6.9176,6.0069,2017-05-08 04:58:08,1494212288555
00-17-0d-00-00-30-49-58,22.56,6.6047,6.8616,2017-05-08 04:58:10,1494212290558
00-17-0d-00-00-30-47-fa,22.36,5.0452,5.9096,2017-05-08 04:58:12,1494212292560
00-17-0d-00-00-30-48-18,22.56,6.3614,7.0659,2017-05-08 04:58:14,1494212294562
00-17-0d-00-00-30-4d-94,21.95,7.6709,6.3087,2017-05-08 04:58:16,1494212296565
00-17-0d-00-00-30-47-fa,22.36,5.361,7.8256,2017-05-08 04:58:18,1494212298566
00-17-0d-00-00-30-49-58,22.56,6.6776,7.6897,2017-05-08 04:58:20,1494212300568
00-17-0d-00-00-30-48-18,22.77,5.7883,5.0137,2017-05-08 04:58:22,1494212302570
00-17-0d-00-00-30-4d-94,21.95,6.3612,6.5084,2017-05-08 04:58:24,1494212304573
00-17-0d-00-00-30-47-fa,22.77,5.2112,6.7188,2017-05-08 04:58:26,1494212306575
00-17-0d-00-00-30-49-58,22.77,5.6681,7.5279,2017-05-08 04:58:28,1494212308577
00-17-0d-00-00-30-48-18,22.16,7.0162,7.7684,2017-05-08 04:58:30,1494212310578
00-17-0d-00-00-30-4d-94,21.95,7.4018,6.8618,2017-05-08 04:58:32,1494212312580
00-17-0d-00-00-30-49-58,22.77,5.0066,5.5015,2017-05-08 04:58:34,1494212314582
00-17-0d-00-00-30-47-fa,22.36,7.0961,4.9347,2017-05-08 04:58:36,1494212316585
00-17-0d-00-00-30-48-18,22.56,7.8996,6.2334,2017-05-08 04:58:38,1494212318587
00-17-0d-00-00-30-4d-94,22.16,7.3231,7.4137,2017-05-08 04:58:40,1494212320589
00-17-0d-00-00-30-47-fa,22.56,5.1183,7.8887,2017-05-08 04:58:42,1494212322591
00-17-0d-00-00-30-48-18,22.36,7.7087,7.5536,2017-05-08 04:58:44,1494212324594
00-17-0d-00-00-30-4d-94,21.75,7.1957,6.7711,2017-05-08 04:58:46,1494212326596
00-17-0d-00-00-30-49-58,22.16,7.1098,6.6709,2017-05-08 04:58:48,1494212328598
00-17-0d-00-00-30-48-18,22.56,5.6977,6.833,2017-05-08 04:58:50,1494212330601
00-17-0d-00-00-30-4d-94,22.16,7.2283,5.3409,2017-05-08 04:58:52,1494212332603
00-17-0d-00-00-30-49-58,22.36,7.8768,6.9272,2017-05-08 04:58:54,1494212334605
00-17-0d-00-00-30-48-18,22.56,6.6018,5.4568,2017-05-08 04:58:56,1494212336606
00-17-0d-00-00-30-4d-94,22.36,5.849,5.8476,2017-05-08 04:58:58,1494212338608
00-17-0d-00-00-30-47-fa,22.36,6.3086,7.8385,2017-05-08 04:59:00,1494212340611
00-17-0d-00-00-30-49-58,22.56,6.632,5.305,2017-05-08 04:59:02,1494212342613
00-17-0d-00-00-30-48-18,22.56,5.067,6.9651,2017-05-08 04:59:04,1494212344614
00-17-0d-00-00-30-4d-94,21.75,6.2761,7.221,2017-05-08 04:59:06,1494212346617
00-17-0d-00-00-30-49-58,22.36,7.1438,7.4738,2017-05-08 04:59:08,1494212348618
00-17-0d-00-00-30-48-18,22.77,5.0691,6.5034,2017-05-08 04:59:10,1494212350621
00-17-0d-00-00-30-4d-94,21.95,7.5602,6.3018,2017-05-08 04:59:12,1494212352623
00-17-0d-00-00-30-49-58,22.56,6.7944,5.5931,2017-05-08 04:59:14,1494212354625
00-17-0d-00-00-30-48-18,22.36,5.6285,7.5967,2017-05-08 04:59:16,1494212356627
00-17-0d-00-00-30-4d-94,21.55,7.1779,6.9042,2017-05-08 04:59:18,1494212358629
00-17-0d-00-00-30-47-fa,22.77,6.9867,6.2102,2017-05-08 04:59:20,1494212360631
00-17-0d-00-00-30-49-58,22.97,5.99,6.6038,2017-05-08 04:59:22,1494212362634
00-17-0d-00-00-30-48-18,22.36,5.9887,6.4283,2017-05-08 04:59:24,1494212364636
00-17-0d-00-00-30-4d-94,22.36,7.5692,7.1736,2017-05-08 04:59:26,1494212366637
00-17-0d-00-00-30-49-58,22.97,7.6673,5.0204,2017-05-08 04:59:28,1494212368640
00-17-0d-00-00-30-48-18,22.56,7.4404,6.2939,2017-05-08 04:59:30,1494212370642
00-17-0d-00-00-30-4d-94,22.16,6.159,5.5329,2017-05-08 04:59:32,1494212372644
00-17-0d-00-00-30-49-58,22.97,5.9837,7.2094,2017-05-08 04:59:34,1494212374646
00-17-0d-00-00-30-48-18,22.56,7.4228,7.3037,2017-05-08 04:59:36,1494212376648
00-17-0d-00-00-30-4d-94,22.16,4.9522,6.4777,2017-05-08 04:59:38,1494212378650
00-17-0d-00-00-30-47-fa,22.56,7.4266,7.5735,2017-05-08 04:59:40,1494212380652
00-17-0d-00-00-30-49-58,22.77,4.9181,5.1998,2017-05-08 04:59:42,1494212382654
00-17-0d-00-00-30-48-18,22.56,5.0514,5.6992,2017-05-08 04:59:44,1494212384656
00-17-0d-00-00-30-4d-94,22.16,5.6967,6.1725,2017-05-08 04:59:46,1494212386658
00-17-0d-00-00-30-49-58,22.36,7.8085,5.2681,2017-05-08 04:59:48,1494212388661
00-17-0d-00-00-30-47-fa,22.77,7.6918,7.2573,2017-05-08 04:59:50,1494212390663
00-17-0d-00-00-30-4d-94,22.16,5.4714,5.8223,2017-05-08 04:59:52,1494212392665
00-17-0d-00-00-30-49-58,22.77,6.9498,7.2104,2017-05-08 04:59:54,1494212394667
00-17-0d-00-00-30-47-fa,22.56,7.8671,6.8549,2017-05-08 04:59:56,1494212396668
00-17-0d-00-00-30-48-18,22.56,7.1629,6.79,2017-05-08 04:59:58,1494212398670
00-17-0d-00-00-30-4d-94,21.95,6.402	,6.0186,2017-05-08 05:00:00,1494212400673
00-17-0d-00-00-30-47-fa,22.56,6.0447,7.8269,2017-05-08 05:00:02,1494212402675
00-17-0d-00-00-30-49-58,22.77,5.8081,7.4752,2017-05-08 05:00:04,1494212404677
00-17-0d-00-00-30-48-18,22.56,7.024,7.6099,2017-05-08 05:00:06,1494212406678
00-17-0d-00-00-30-4d-94,22.16,5.0938,5.9559,2017-05-08 05:00:08,1494212408680
00-17-0d-00-00-30-49-58,22.56,7.854,6.1048,2017-05-08 05:00:10,1494212410682
00-17-0d-00-00-30-47-fa,22.77,7.0407,6.9851,2017-05-08 05:00:12,1494212412684
