00-17-0d-00-00-30-48-18,2017-05-08 04:55:24,1494212124388,-40.5,null,null
00-17-0d-00-00-30-47-fa,2017-05-08 04:55:26,1494212126390,-36,null,null
00-17-0d-00-00-30-49-58,2017-05-08 04:55:28,1494212128392,-36,null,null
00-17-0d-00-00-30-4d-94,2017-05-08 04:55:30,1494212130395,-46,null,null
00-17-0d-00-00-30-48-18,2017-05-08 04:55:32,1494212132397,null,92,2.586
00-17-0d-00-00-30-47-fa,2017-05-08 04:55:34,1494212134399,null,92,2.586
00-17-0d-00-00-30-49-58,2017-05-08 04:55:36,1494212136401,null,92,2.601
00-17-0d-00-00-30-4d-94,2017-05-08 04:55:38,1494212138404,null,47,2.515
00-17-0d-00-00-30-48-18,2017-05-08 04:55:40,1494212140406,-39.75,null,null
00-17-0d-00-00-30-47-fa,2017-05-08 04:55:42,1494212142408,-36,null,null
00-17-0d-00-00-30-49-58,2017-05-08 04:55:44,1494212144411,-36.5,null,null
00-17-0d-00-00-30-4d-94,2017-05-08 04:55:46,1494212146413,-45,null,null
00-17-0d-00-00-30-48-18,2017-05-08 04:55:48,1494212148415,null,92,2.582
00-17-0d-00-00-30-47-fa,2017-05-08 04:55:50,1494212150418,null,92,2.577
00-17-0d-00-00-30-49-58,2017-05-08 04:55:52,1494212152420,null,92,2.601
00-17-0d-00-00-30-4d-94,2017-05-08 04:55:54,1494212154421,null,47,2.499
00-17-0d-00-00-30-4d-94,2017-05-08 04:55:56,1494212156423,-41,null,null
00-17-0d-00-00-30-4d-94,2017-05-08 04:55:58,1494212158425,null,47,2.529
00-17-0d-00-00-30-4d-94,2017-05-08 04:56:00,1494212160426,-40,null,null
00-17-0d-00-00-30-4d-94,2017-05-08 04:56:02,1494212162429,-36,null,null
00-17-0d-00-00-30-4d-94,2017-05-08 04:56:04,1494212164431,null,47,2.48
00-17-0d-00-00-30-4d-94,2017-05-08 04:56:06,1494212166433,-36,null,null
00-17-0d-00-00-30-4d-94,2017-05-08 04:56:08,1494212168436,null,47,2.472
00-17-0d-00-00-30-47-fa,2017-05-08 04:56:10,1494212170436,null,19,2.639
00-17-0d-00-00-30-4d-94,2017-05-08 04:56:12,1494212172439,null,47,2.43
00-17-0d-00-00-30-48-18,2017-05-08 04:56:14,1494212174440,null,23,2.632
00-17-0d-00-00-30-49-58,2017-05-08 04:56:16,1494212176440,null,71,2.624
